model_name,year,num_games,mae_margin
scoring_shots,2015,206,31.0097
scoring_shots,2016,207,30.2872
scoring_shots,2017,207,29.0662
scoring_shots,2018,207,27.1796
scoring_shots,2019,207,27.4748
scoring_shots,2020,162,23.3046
scoring_shots,2021,207,27.1691
scoring_shots,2022,207,24.29
scoring_shots,2023,216,25.9663
scoring_shots,2024,216,26.8552
scoring_shots,2025,216,26.6308
team_only,2015,206,31.2088
team_only,2016,207,30.4615
team_only,2017,207,29.1969
team_only,2018,207,27.0335
team_only,2019,207,27.0527
team_only,2020,162,23.964
team_only,2021,207,27.1398
team_only,2022,207,24.9773
team_only,2023,216,26.0528
team_only,2024,216,26.4834
team_only,2025,216,26.3481
team_plus_lineup,2015,206,31.3695
team_plus_lineup,2016,207,30.9605
team_plus_lineup,2017,207,29.104
team_plus_lineup,2018,207,27.081
team_plus_lineup,2019,207,26.9965
team_plus_lineup,2020,162,23.9546
team_plus_lineup,2021,207,27.1693
team_plus_lineup,2022,207,25.0836
team_plus_lineup,2023,216,26.0998
team_plus_lineup,2024,216,26.5429
team_plus_lineup,2025,216,26.3148
scoring_shots,ALL,2258,27.2705
team_only,ALL,2258,27.3178
team_plus_lineup,ALL,2258,27.3877
