model_name,year,num_games,mae_margin,tip_pct,bits_per_game,total_bits
scoring_shots,2015,206,31.0097,69.42,0.1421,29.2771
scoring_shots,2016,207,30.2872,70.53,0.2192,45.3824
scoring_shots,2017,207,29.0662,62.32,0.0746,15.4448
scoring_shots,2018,207,27.1796,70.05,0.1821,37.697
scoring_shots,2019,207,27.4748,63.77,0.0996,20.6224
scoring_shots,2020,162,23.3046,68.52,0.1309,21.1985
scoring_shots,2021,207,27.1691,63.77,0.0854,17.677
scoring_shots,2022,207,24.29,71.98,0.2111,43.7031
scoring_shots,2023,216,25.9663,70.37,0.1305,28.1988
scoring_shots,2024,216,26.8552,63.89,0.1314,28.3915
scoring_shots,2025,216,26.6308,71.3,0.2227,48.1104
scoring_shots,ALL,2258,27.2705,67.8,0.1487,335.7029
team_only,2015,206,31.2088,71.36,0.1426,29.3774
team_only,2016,207,30.4615,69.57,0.2018,41.7623
team_only,2017,207,29.1969,63.77,0.0808,16.7313
team_only,2018,207,27.0335,69.08,0.1759,36.4036
team_only,2019,207,27.0527,62.32,0.1013,20.9686
team_only,2020,162,23.964,67.28,0.0978,15.8362
team_only,2021,207,27.1398,66.67,0.0874,18.0882
team_only,2022,207,24.9773,71.5,0.1807,37.4047
team_only,2023,216,26.0528,68.52,0.1322,28.5658
team_only,2024,216,26.4834,63.89,0.1358,29.3237
team_only,2025,216,26.3481,72.22,0.2286,49.3766
team_only,ALL,2258,27.3178,67.85,0.1434,323.8383
team_plus_lineup,2015,206,31.3695,69.42,0.1385,28.5356
team_plus_lineup,2016,207,30.9605,67.63,0.1934,40.0376
team_plus_lineup,2017,207,29.104,64.73,0.0805,16.6691
team_plus_lineup,2018,207,27.081,70.05,0.1783,36.9113
team_plus_lineup,2019,207,26.9965,63.29,0.0988,20.448
team_plus_lineup,2020,162,23.9546,67.9,0.0964,15.6203
team_plus_lineup,2021,207,27.1693,65.7,0.0854,17.6688
team_plus_lineup,2022,207,25.0836,71.5,0.18,37.2642
team_plus_lineup,2023,216,26.0998,69.44,0.1316,28.4176
team_plus_lineup,2024,216,26.5429,63.43,0.1347,29.0981
team_plus_lineup,2025,216,26.3148,71.76,0.2292,49.5092
team_plus_lineup,ALL,2258,27.3877,67.71,0.1418,320.1799
team_residual_lineup,2015,206,16.2094,86.41,0.4258,87.7224
team_residual_lineup,2016,207,15.2843,85.51,0.5623,116.3893
team_residual_lineup,2017,207,15.0059,83.57,0.5398,111.7363
team_residual_lineup,2018,207,13.85,87.44,0.6043,125.0854
team_residual_lineup,2019,207,14.8842,87.92,0.5779,119.6199
team_residual_lineup,2020,162,13.6889,85.8,0.5481,88.7869
team_residual_lineup,2021,207,13.633,84.54,0.5452,112.8648
team_residual_lineup,2022,207,14.0797,85.02,0.4976,102.9961
team_residual_lineup,2023,216,14.6979,82.87,0.5023,108.5032
team_residual_lineup,2024,216,14.9446,81.94,0.4959,107.1146
team_residual_lineup,2025,216,13.7211,83.33,0.5133,110.882
team_residual_lineup,ALL,2258,14.5606,84.9,0.5278,1191.7009
